date,relL_max,relP_max,L_hits,slot_frac,eps,is_emergency_day,P_hits
2025-01-30,0.1074409647093934,1700.0,0,0.0,0.20637247695499253,True,0
2025-01-31,0.14156297408998542,2000.0000000000002,0,0.0,-0.4521394826861531,False,0
2025-02-01,0.2301940641112146,1500.0,0,0.0,-0.5032811404900441,False,0
2025-02-02,0.11085214103510332,1.4478205974530376,0,0.0,0.13955486050625185,False,0
2025-02-03,0.16491887266612149,1.788188104348931,0,0.0,0.08281011376794753,False,0
2025-02-04,0.12459768612632732,9503900.0,0,0.0,0.06879780952740205,False,0
2025-02-05,0.1086273166155531,16614300.0,0,0.0,0.14086381012545537,False,0
2025-02-06,0.11092866779083807,26710500.0,0,0.0,0.05484572483467231,False,0
2025-02-07,0.15981878785910594,39347700.00000001,0,0.0,-0.5591687187291728,False,0
2025-02-08,0.1978303557057782,50830199.99999999,0,0.0,-0.4832649697836648,False,0
2025-02-09,0.15800290047296656,65906600.0,0,0.0,0.16384985851469205,False,0
2025-02-10,0.09984948504588904,77625100.0,0,0.0,0.10998058649217922,False,0
2025-02-11,0.12268907563025216,89127100.0,0,0.0,0.1133454138125099,False,0
2025-02-12,0.11007048106402048,3158000.0,0,0.0,0.11706700986173582,False,0
2025-02-13,0.15271083909965047,4229200.0,0,0.0,0.14930408276881788,False,0
2025-02-14,0.15270740192107046,20900.0,0,0.0,-0.5372001070708017,False,0
2025-02-15,0.14412048097356236,1700.0,0,0.0,-0.5317071790401875,False,0
2025-02-16,0.0762827291779895,1900.0,0,0.0,0.1688167570260358,False,0
2025-02-17,0.09096357982151858,2200.0000000000005,0,0.0,0.05481317748229434,False,0
2025-02-18,0.09994601270106288,2500.0,0,0.0,0.22959606545453895,True,0
2025-02-19,0.11887431954670395,7500000.0,0,0.0,0.24188093791918666,True,0
2025-02-20,0.11566807017727883,23737500.0,0,0.0,0.14820521193745032,False,0
2025-02-21,0.12623809730555205,39000000.0,0,0.0,-0.576174354720033,False,0
2025-02-22,0.128607710688348,60712499.99999999,0,0.0,-0.528235119464715,False,0
2025-02-23,0.08733761570507732,84150000.00000001,0,0.0,0.2308729766897443,True,0
2025-02-24,0.0896761515447449,104400000.0,0,0.0,0.17802779082399212,False,0
