date,costA,QA,costC,costB,cons_err
2025-03-02,83060.32145728248,11965.430920199587,77258.31039332833,73721.1714125,0.15705410801352795
2025-03-03,74225.66251502866,7507.693507999997,78482.87564125167,74688.364350865,0.20106659012868924
2025-03-04,78155.62487924419,12126.143089874487,73505.39880175666,72293.200615345,0.14776530530436607
2025-03-05,65757.78369418244,6857.7696016234595,72294.40190458833,68844.54293009499,0.19639295837497145
2025-03-06,71724.85310059976,10727.957659851847,71082.1460705325,69026.39458872,0.16790415664418235
2025-03-07,38765.441041340004,0.0,44391.42444588583,68394.174160685,4.427927299641955
2025-03-08,32680.241833199998,0.0,42118.09033287167,65140.45876875,4.016120900345889
2025-03-09,66631.70692397827,8046.174130831274,70553.73523376083,63856.91940634,0.17139748251200623
2025-03-10,75974.10608559729,11898.01411152881,71446.57740792749,69059.43844040499,0.14117276070554124
2025-03-11,68332.5371772541,11815.42796652674,67578.71349775333,65253.80185489,0.03004265393447147
2025-03-12,60419.74273690787,6452.219589409462,69299.93754713333,63855.673813465,0.1672749515645558
2025-03-13,74457.25401812716,11278.212224275725,70790.13883443833,69862.19921798,0.14373933881703552
2025-03-14,31781.52561595,0.0,40723.76568923583,63562.23722819501,4.761558011192703
2025-03-15,32408.4010331,0.0,41824.70024511083,67180.44931977498,3.525179112589257
2025-03-16,68465.04123815976,10997.102396701648,68094.54609950166,63097.133214955,0.06312308153475311
2025-03-17,53520.42731344347,6622.877738985593,64021.55173492916,60164.662266485,0.06026446146785597
2025-03-18,55648.58329385079,4670.107047325098,68496.38824876084,64969.236058665,0.1835880195883343
2025-03-19,60788.364482600875,9377.077588300406,65824.04113321083,62211.97009655999,0.028918032306540133
2025-03-20,61447.02409224448,8074.666422156381,67540.19841684666,60428.78884595,0.0784982398184112
2025-03-21,32163.92766172,0.0,40723.42958276333,58251.300284845,7.125039948867267
2025-03-22,31606.599833930002,0.0,40120.100625729996,60852.76714856,4.925618613156412
2025-03-23,58039.694865567886,6518.2303034979395,66410.15456205583,58111.192769990004,0.10764137855305124
2025-03-24,54536.254236932946,6659.397185390943,65477.61787777749,62555.769072605,0.09514582667010248
2025-03-25,55928.10226698851,5049.680600823043,67789.92456699666,61481.383731485,0.18719480734367616
2025-03-26,51612.47532344165,5855.729699999995,64044.6142326775,86985.00705123499,0.07377311024558522
2025-03-27,54787.400532509,6698.6273280144005,65002.88731893667,60592.65939101,0.09944730762919207
2025-03-28,31080.59356179,0.0,39442.43636080833,60116.166863264996,7.967767057690136
2025-03-29,27838.48551772,0.0,37940.587185058335,54186.72871276,10.521478316135509
2025-03-30,51390.90191257549,6038.799855999998,63374.938630323326,54896.997683890004,0.05605705876011454
2025-03-31,56196.95087504962,9464.987663168718,61107.282667734995,73717.00199813,0.027128663737033987
2025-04-01,55205.37900369519,6419.557066049383,63759.95230704582,62626.25810542,0.13611743814700747
2025-04-02,63883.76241509868,9830.817583950611,65840.7694952125,64514.735135995,0.13270133380381463
2025-04-03,47824.287828898334,3474.373466666667,64731.65904920333,60613.478110055,0.11048050304849108
2025-04-04,29027.96799611,0.0,37534.59116729,55264.72965317,13.514817146234853
2025-04-05,26720.306915840003,0.0,36645.786342905834,72775.05325637001,5.652772717272658
2025-04-06,51566.68762708149,6607.144340666667,62091.3440778075,56618.338878565,0.03073083225378642
2025-04-07,48313.190973958066,6883.183566773656,59683.963781281665,87139.707161135,0.029903547813514807
2025-04-08,47322.02763943507,3873.6491788333315,63650.809918043335,57642.528803365,0.09116951463332208
2025-04-09,56603.120622835195,8746.513965397122,62851.33292235667,59924.733654855,0.03351834259579702
2025-04-10,48520.426495761465,5483.664224279833,62128.60301772332,55216.265175885,0.03086684996568241
2025-04-11,26812.355375470004,0.0,36081.967879395,51758.947114615,15.289163502690553
2025-04-12,29869.800785789997,0.0,37151.33947359333,54340.801512345,9.594812170699203
2025-04-13,55829.90556092716,9397.793354499998,60431.79628565666,60038.1600371,0.028423954089336997
2025-04-14,43502.325391124316,3443.2540086666622,60189.37311612666,52273.937608119995,0.06078908734846833
2025-04-15,44681.90009036924,4936.472797380653,58112.273727558335,69417.83865226,0.02935607164933492
2025-04-16,52513.43870349426,8156.926969975308,59932.29413802416,56987.64123911,0.026854561531039323
